ECG Analysis Results
Sampling Rate (Hz),999
Maternal Average Heart Rate (BPM),74.7
Fetal Average Heart Rate (BPM),106.3
Number of Maternal R Peaks,6
Number of Fetal R Peaks,8

Maternal R Peaks
Index,Time (s),Raw Value
1,0.393,2791
2,1.214,2763
3,1.870,2223
4,2.831,2999
5,3.647,2879
6,4.463,2803

Fetal R Peaks
Index,Time (s),Raw Value
1,0.211,2451
2,0.570,2403
3,1.108,2411
4,1.466,2379
5,2.551,2323
6,3.289,2271
7,3.971,2383
8,4.784,2351

Heart Rates
Time (s),Maternal HR (BPM),Fetal HR (BPM)
0.571,N/A,167.0
1.109,N/A,111.4
1.215,73.0,N/A
1.467,N/A,167.4
1.872,91.4,N/A
2.553,N/A,55.3
2.833,62.4,N/A
3.291,N/A,81.2
3.650,73.5,N/A
3.974,N/A,87.9
4.466,73.5,N/A
4.788,N/A,73.7
