ECG Analysis Results
Sampling Rate (Hz),999
Maternal Average Heart Rate (BPM),76.3
Fetal Average Heart Rate (BPM),117.3
Number of Maternal R Peaks,7
Number of Fetal R Peaks,9

Maternal R Peaks
Index,Time (s),Raw Value
1,0.200,2379
2,1.181,2775
3,1.932,2731
4,2.769,2939
5,3.540,2723
6,4.328,2627
7,4.986,2299

Fetal R Peaks
Index,Time (s),Raw Value
1,0.011,2263
2,0.536,2403
3,1.001,2347
4,1.589,2271
5,2.552,2363
6,3.116,2299
7,3.646,2451
8,4.095,2375
9,4.431,2439

Heart Rates
Time (s),Maternal HR (BPM),Fetal HR (BPM)
0.537,N/A,114.2
1.002,N/A,128.9
1.182,61.1,N/A
1.591,N/A,101.9
1.934,79.8,N/A
2.554,N/A,62.3
2.771,71.7,N/A
3.118,N/A,106.3
3.543,77.7,N/A
3.649,N/A,113.1
4.098,N/A,133.5
4.331,76.1,N/A
4.434,N/A,178.4
4.990,91.1,N/A
